STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/1/1955,0,",,E",,,65,",,E",50,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/2/1955,0.08,",,E",,,58,",,E",45,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/3/1955,0,",,E",,,60,",,E",49,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/4/1955,0,",,E",,,66,",,E",45,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/5/1955,0,",,E",,,64,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/6/1955,0,",,E",,,67,",,E",48,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/7/1955,0,",,E",,,64,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/8/1955,0,",,E",,,64,",,E",56,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/9/1955,0.12,",,E",,,63,",,E",54,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/10/1955,0,",,E",,,64,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/11/1955,0.02,",,E",,,61,",,E",50,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/12/1955,0,",,E",,,64,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/13/1955,0,",,E",,,69,",,E",48,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/14/1955,0,",,E",,,70,",,E",50,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/15/1955,0,",,E",,,71,",,E",52,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/16/1955,0,",,E",,,66,",,E",48,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/17/1955,0,",,E",,,65,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/18/1955,0,",,E",,,65,",,E",58,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/19/1955,0.06,",,E",,,65,",,E",57,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/20/1955,0.22,",,E",,,63,",,E",50,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/21/1955,0.43,",,E",,,59,",,E",54,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/22/1955,1.09,",,E",,,55,",,E",49,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/23/1955,0,",,E",,,59,",,E",45,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/24/1955,0,",,E",,,56,",,E",49,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/25/1955,0,",,E",,,53,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/26/1955,0,",,E",,,55,",,E",44,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/27/1955,0,",,E",,,57,",,E",44,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/28/1955,0,",,E",,,58,",,E",40,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/29/1955,0,",,E",,,62,",,E",49,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/30/1955,0.63,",,E",,,61,",,E",51,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/31/1955,0,",,E",,,66,",,E",46,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/1/1955,0,",,E",,,60,",,E",47,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/2/1955,0.14,",,E",,,66,",,E",52,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/3/1955,0.37,",,E",,,58,",,E",46,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/4/1955,0.19,",,E",,,58,",,E",41,",,E"
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/5/1955,0.59,",,E",,,58,",,E",49,",,E"
